amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
[],1981,9H Yuan Ching Road,,Boon Lay / Jurong / Tuas (D22),,,,https://www.99.co/singapore/rent/property/lakeside-tower-condo-cvwnczUHpcCmudXRe2wwEm#enquiry_position_911#enquiry_source_Search,15 min (1275 m) from ,Lakeside MRT,Lakeside Tower,Jurong East,,https://financialtribune.com/sites/default/files/styles/slideshow/public/field/image/17january/12_housing.jpg?itok=d06YPElv&c=951339708e83cdf3eb1f0b0e2a10dfe1,$4.25 psf,"$1,700/mo",Condo Whole Unit,400,99 Years,144,"1, 2, 3, 4, 5, 6 BR",1,
"['High ceiling', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', 'City view', 'Closet', 'Greenery view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1999,70 Grange Road,Lucky Realty Co. Pte Ltd (Far East),Tanglin / Holland (D10),,,Partial,https://www.99.co/singapore/rent/property/grange-70-condo-88pYeUvFuwtcCvNWoYgZ5m#enquiry_position_912#enquiry_source_Search,15 min (1611 m) from ,Orchard MRT,Grange 70,River Valley,City view,https://www.99.co/static/v3/icons/high_ceiling@3x.png,$3.75 psf,"$7,500/mo",Condo Whole Unit,"2,000",Freehold,20,"3, 4 BR",4,4
"['Clubhouse', 'High ceiling', 'Walk in closet', 'Oven', 'Parking', 'City view', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2007,30 Mount Sophia,Cathay Organisation Holdings Ltd,Orchard / River Valley (D9),South,High (17 total),Partial,https://www.99.co/singapore/rent/property/the-cathay-residences-condo-ESNpJM8aazYPyBcfXCLMvW#enquiry_position_913#enquiry_source_Search,5 min (222 m) from ,Dhoby Ghaut MRT,The Cathay Residences,None,City view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.52 psf,"$5,800/mo",Condo Whole Unit,"1,050",Freehold,76,"2, 3 BR",2,2
"['Jogging track', 'Clubhouse', 'Function room', 'Water feature', 'Stove', 'Sea view', 'Oven', 'Parking', 'Sky terrace', 'Fun pool', 'City view', 'Closet', 'Tv', 'Pool deck', 'Playground', 'Dining room furniture', 'Washer', 'Fibre ready', 'Bbq', 'Gym', 'Fridge', 'Dryer', 'Steam room', 'Tennis court', 'Karaoke', 'Retail shops', 'Aircon', 'Sofa', 'Bed', 'Spa pool', 'Study room', 'Fitness corner', 'High floor', 'Security', 'Bathtub', 'Lap pool']",2008,2 Marina Boulevard,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),South East,High (70 total),Fully,https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-NhFmeSVBze8LnZCjunNrxM#enquiry_position_914#enquiry_source_Search,5 min (216 m) from ,Downtown MRT,The Sail @ Marina Bay,None,City view,https://pic.99.co/v3/Ca2Q68DbrrNxeMyCGb3PPn?width=1440&mode=fill&text=sharon+tan&sampling=lanczos&quality=80&version=1&signature=d9bbf221fea6022ddd23ebd3ff1f7114a3ffe654,$6.23 psf,"$5,500/mo",Condo Whole Unit,883,99 Years,1111,"Studio, 1, 2, 3, 4, 5, 10 BR",2,2
"['Stove', 'Walk in closet', 'Oven', 'Parking', 'City view', 'Closet', 'Tv', 'Utility room', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1998,180A Bencoolen Street,,Beach Road / Bugis / Rochor (D7),,High (19 total),Fully,https://www.99.co/singapore/rent/property/the-bencoolen-condo-hmfvPEPMx99f9WBzcPG4yX#enquiry_position_915#enquiry_source_Search,5 min (254 m) from ,Rochor MRT,The Bencoolen,None,City view,https://www.99.co/static/v3/icons/stove@3x.png,$3.58 psf,"$4,300/mo",Condo Whole Unit,"1,200",99 Years,94,"2, 3, 4 BR",3,2
"['Stove', 'Walk in closet', 'Oven', 'Balcony', 'City view', 'Basketball court', 'Closet', 'Tv', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2007,33 Mackenzie Road,Wah Khiaw Properties Pte Ltd,Orchard / River Valley (D9),,High,Fully,https://www.99.co/singapore/rent/property/mackenzie-regency-condo-z6CEpghRSjeZ23ToeFozMb#enquiry_position_916#enquiry_source_Search,5 min (284 m) from ,Little India MRT,Mackenzie Regency,None,Greenery view,https://www.99.co/static/v3/icons/stove@3x.png,$4.42 psf,"$2,650/mo",Condo Whole Unit,600,Freehold,19,"Studio, 1, 3 BR",1,1
"['High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'City view', 'Renovated', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2011,21 Mccallum Street,Natwest Development Pte Ltd (Far East Organization),Boat Quay / Raffles Place / Marina (D1),South East,High (42 total),Fully,https://www.99.co/singapore/rent/property/the-clift-condo-nKknF7d7p8tWFzuzEh7EsM#enquiry_position_917#enquiry_source_Search,5 min (329 m) from ,Telok Ayer MRT,The Clift,None,City view,https://www.99.co/static/v3/icons/high_ceiling@3x.png,$6.13 psf,"$6,600/mo",Apartment Whole Unit,"1,076",99 Years,312,"Studio, 1, 2 BR",2,2
"['Function room', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Balcony', 'City view', 'Renovated', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2017,65 Lloyd Road,Tg (2010) Pte Ltd,Orchard / River Valley (D9),,Ground (10 total),Partial,https://www.99.co/singapore/rent/property/lloyd-sixtyfive-condo-qAS3Y66JA4eEtjtmk676zM#enquiry_position_918#enquiry_source_Search,5 min (321 m) from ,Somerset MRT,Lloyd Sixtyfive,River Valley,Greenery view,https://www.99.co/static/v3/icons/function_room@3x.png,$5.8 psf,"$5,800/mo",Condo Whole Unit,"1,000",Freehold,76,"1, 2, 3, 4, 5 BR",1,2
"['City view', 'Security', 'Aircon', 'Closet', 'Squash court', 'Greenery view', 'Fridge', 'Swimming pool', '', '', '', '', '', '', '', '']",1986,7 Bassein Road,Vihin Realty Pte Ltd,Newton / Novena (D11),,High,Fully,https://www.99.co/singapore/rent/property/pastoral-view-condo-P5FqmHaJAMZMvd5Dnw4iVE#enquiry_position_919#enquiry_source_Search,10 min (545 m) from ,Novena MRT,Pastoral View,Novena,City view,https://www.99.co/static/v3/icons/city_view@3x.png,$4.62 psf,"$3,000/mo",Condo Whole Unit,650,Freehold,50,"Studio, 1, 2, 3 BR",1,2
"['Clubhouse', 'High ceiling', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Balcony', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2012,11A Nassim Road,Hong Leong Holdings Ltd,Tanglin / Holland (D10),,,Partial,https://www.99.co/singapore/rent/property/sage-condo-VWchPMjEKvRxvdAMDNcBhH#enquiry_position_920#enquiry_source_Search,15 min (1096 m) from ,Orchard MRT,Sage,Tanglin,Greenery view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$6.25 psf,"$17,500/mo",Condo Whole Unit,"2,800",Freehold,33,"Studio, 3, 4, 5 BR",4,5
"['High ceiling', 'Stove', 'Oven', 'Parking', 'Balcony', 'City view', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1998,180 Bencoolen Street,,Beach Road / Bugis / Rochor (D7),,Ground (19 total),Fully,https://www.99.co/singapore/rent/property/the-bencoolen-condo-sox7KXEvrziunSbUZkAaoY#enquiry_position_921#enquiry_source_Search,5 min (254 m) from ,Rochor MRT,The Bencoolen,None,City view,https://www.99.co/static/v3/icons/high_ceiling@3x.png,$3.74 psf,"$3,500/mo",Apartment Whole Unit,936,99 Years,94,"2, 3, 4 BR",2,2
"['Clubhouse', 'Gym', 'Sauna', 'Swimming pool', 'Wading pool', 'Playground', 'Parking', 'Security', '', '']",1995,3 Pine Grove,Tm Development Pte Ltd,Clementi Park / Upper Bukit Timah (D21),,,,https://www.99.co/singapore/rent/property/astor-green-condo-LaXsfVz8SbTeGqsXiPkWN6#enquiry_position_922#enquiry_source_Search,15 min (752 m) from ,Dover MRT,Astor Green,Bukit Timah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.34 psf,"$4,600/mo",Condo Whole Unit,"1,378",99 Years,170,"2, 3 BR",3,3
"['Jet pool', 'Gym', 'Swimming pool', 'Wading pool', 'Playground', 'Parking', 'Security', 'Bbq']",2016,26 Newton Road,Novelty Corp Pte Ltd,Newton / Novena (D11),,,,https://www.99.co/singapore/rent/property/26-newton-condo-LMQhfEenAyT5xprh2AG4R3#enquiry_position_923#enquiry_source_Search,10 min (881 m) from ,Newton MRT,26 Newton,Novena,,https://www.99.co/static/v3/icons/pool@3x.png,$5.03 psf,"$3,900/mo",Condo Whole Unit,775,Freehold,180,"1, 2, 3 BR",2,2
"['Bridge', 'Clubhouse', 'Water feature', 'Gym', 'Pool deck', 'Spa pool', 'Lounge', 'Wading pool', '', '', '', '', '']",2013,296 Beach Road,Hong Fok Land Ltd,Beach Road / Bugis / Rochor (D7),,,,https://www.99.co/singapore/rent/property/concourse-skyline-condo-BGGrYKaDNUL7zi28xVLopN#enquiry_position_924#enquiry_source_Search,5 min (203 m) from ,Nicoll Highway MRT,Concourse Skyline,None,,https://www.99.co/static/v3/icons/bridge@3x.png,$5 psf,"$5,600/mo",Condo Whole Unit,"1,119",99 Years,360,"1, 2, 3, 4, 5, 6 BR",2,2
"['Clubhouse', 'Basketball court', 'Aircon', 'Gym', 'Fridge', 'Swimming pool', 'Wading pool', 'Tennis court', '', '', '', '']",2014,16 Enggor Street,Bishan Properties Pte Ltd,Chinatown / Tanjong Pagar (D2),,,Partial,https://www.99.co/singapore/rent/property/altez-condo-yhq4aFC7jK8stpN9EtNwCS#enquiry_position_925#enquiry_source_Search,5 min (253 m) from ,Tanjong Pagar MRT,Altez,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.97 psf,"$9,000/mo",Condo Whole Unit,"1,507",99 Years,280,"Studio, 1, 2, 3, 4 BR",3,3
"['Clubhouse', 'Jet pool', 'Gym', 'Pool deck', 'Lounge', 'Swimming pool', 'Wading pool', 'Steam room', '', '', '', '', '', '']",2014,368 Thomson Road,City Developments Ltd,Newton / Novena (D11),,,,https://www.99.co/singapore/rent/property/368-thomson-condo-nHLGSrRLdYGZg8JCqCdsd8#enquiry_position_926#enquiry_source_Search,15 min (958 m) from ,Novena MRT,368 Thomson,Novena,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.53 psf,"$4,600/mo",Condo Whole Unit,"1,302",Freehold,157,"1, 2, 3, 4 BR",3,3
"['Bomb shelter', 'Aircon', 'Stove', 'Fridge', 'Low floor', 'Swimming pool', 'Dryer', 'Oven', '', '', '']",2008,38 Amber Road,Ho Brothers Investment Pte Ltd,East Coast / Marine Parade (D15),,Low,Partial,https://www.99.co/singapore/rent/property/38-amber-condo-P6bMjtxEudcKUSm8NK9LAQ#enquiry_position_927#enquiry_source_Search,,,38 Amber,Marine Parade,,https://www.99.co/static/v3/icons/bomb_shelter@3x.png,$3.35 psf,"$4,000/mo",Condo Whole Unit,"1,195",Freehold,29,"2, 3 BR",3,2
"['City view', 'Renovated', 'Aircon', 'Tv', 'Fridge', 'Bed', 'Fibre ready', 'Closet']",,31 Boon Lay Drive,,Boon Lay / Jurong / Tuas (D22),,,Fully,https://www.99.co/singapore/rent/property/85-soho-boon-lay-condo-cnJmBwLyqyrqFn4DHJ8py6#enquiry_position_928#enquiry_source_Search,15 min (2057 m) from ,Boon Lay MRT,85 SOHO @ Boon Lay,Jurong West,City view,https://www.99.co/static/v3/icons/city_view@3x.png,$5.71 psf,"$1,600/mo",Service Apartment Whole Unit,280,-,,"Studio, 1 BR",studio,1
"['Jogging track', 'Clubhouse', 'Function room', 'Games room', 'Water feature', 'Stove', 'Jacuzzi', 'Oven', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2013,70 Dakota Crescent,UOL Group Limited,Eunos / Geylang / Paya Lebar (D14),North,,Partial,https://www.99.co/singapore/rent/property/waterbank-at-dakota-condo-YHjz5pe5E3DBcCLErUzxTN#enquiry_position_929#enquiry_source_Search,5 min (196 m) from ,Dakota MRT,Waterbank At Dakota,Geylang,City view,https://www.99.co/static/v3/icons/jogging_track@3x.png,$4.86 psf,"$5,700/mo",Condo Whole Unit,"1,173",99 Years,616,"1, 2, 3, 4, 5 BR",3,3
"['Function room', 'Gym', 'Pool deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Steam room', 'Bbq']",2017,65 Lloyd Road,Tg (2010) Pte Ltd,Orchard / River Valley (D9),,,Partial,https://www.99.co/singapore/rent/property/lloyd-sixtyfive-condo-eN2UgtWVZWSUGBjvNCvdAf#enquiry_position_930#enquiry_source_Search,5 min (321 m) from ,Somerset MRT,Lloyd Sixtyfive,River Valley,,https://www.99.co/static/v3/icons/function_room@3x.png,$4.95 psf,"$9,000/mo",Condo Whole Unit,"1,820",Freehold,76,"1, 2, 3, 4, 5 BR",2,2
"['Swimming pool', 'Gym', 'Security', 'Bbq', 'Parking']",1997,101 Fernhill Road,Far East Organization,Tanglin / Holland (D10),,,Partial,https://www.99.co/singapore/rent/property/orange-regency-condo-aKENAaeLhokkWotjjXpg66#enquiry_position_931#enquiry_source_Search,15 min (1070 m) from ,Stevens MRT,Orange Regency,Tanglin,,https://www.99.co/static/v3/icons/pool@3x.png,$3.68 psf,"$6,500/mo",Condo Whole Unit,"1,765",Freehold,15,"3, 4 BR",4,4
"['City view', 'Security', 'Aircon', 'Greenery view', 'Gym', 'Fridge', 'Sauna', 'Jacuzzi', '', '', '', '', '', '', '', '', '']",1999,70 Grange Road,Lucky Realty Co. Pte Ltd (Far East),Tanglin / Holland (D10),North South,,Partial,https://www.99.co/singapore/rent/property/grange-70-condo-wAzG4CNkrDJSodWSEpMNpL#enquiry_position_932#enquiry_source_Search,15 min (1611 m) from ,Orchard MRT,Grange 70,River Valley,City view,https://www.99.co/static/v3/icons/city_view@3x.png,$4.22 psf,"$7,400/mo",Condo Whole Unit,"1,755",Freehold,20,"3, 4 BR",4,4
"['Clubhouse', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'Balcony', 'City view', 'Tv', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2015,23 Angullia Park,Far East Organization,Orchard / River Valley (D9),North,High (33 total),Partial,https://www.99.co/singapore/rent/property/skyline-orchard-boulevard-condo-3uD9pHLXRGQSYD6AXouuHD#enquiry_position_933#enquiry_source_Search,5 min (346 m) from ,Orchard MRT,Skyline @ Orchard Boulevard,River Valley,City view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$6.59 psf,"$11,500/mo",Condo Whole Unit,"1,744",Freehold,40,"Studio, 2, 3, 4, 5, 6 BR",2,2
"['Gym', 'Wading pool', 'Steam room', 'Parking', 'Security', 'Bbq']",2012,356 Alexandra Road,Ec Prime Pte Ltd,Alexandra / Commonwealth (D3),,,Fully,https://www.99.co/singapore/rent/property/alexis-condo-5LJc36GS37rrrmwLK6rXHW#enquiry_position_934#enquiry_source_Search,10 min (380 m) from ,Queenstown MRT,Alexis,Queenstown,,https://www.99.co/static/v3/icons/gym@3x.png,$3.65 psf,"$3,300/mo",Condo Whole Unit,904,Freehold,293,"Studio, 1, 2, 3, 5 BR",2,1
"['Penthouse', 'Clubhouse', 'Function room', 'Aircon', 'Water feature', 'Gym', 'Sauna', 'Wading pool', '', '', '', '', '', '', '', '']",2010,7 Thomson Lane,Times Development Pte Ltd (Singapore Press Holdings Ltd),Newton / Novena (D11),,,,https://www.99.co/singapore/rent/property/sky-eleven-condo-yAFM3nyQqVVFuh38akEaM3#enquiry_position_935#enquiry_source_Search,15 min (1276 m) from ,Caldecott MRT,Sky @ Eleven,Toa Payoh,,https://www.99.co/static/v3/icons/penthouse@3x.png,$3.73 psf,"$14,000/mo",Condo Whole Unit,"3,757",Freehold,273,"3, 4, 5 BR",4,
"['Clubhouse', 'Gym', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Parking', 'Security', '']",2021,10 Alexandra View,FEC Skyline Pte Ltd,Alexandra / Commonwealth (D3),,,,https://www.99.co/singapore/rent/property/artra-condo-sucTf82FX4zbez3zU7WJkm#enquiry_position_936#enquiry_source_Search,5 min (61 m) from ,Redhill MRT,Artra,Bukit Merah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.87 psf,"$7,200/mo",Condo Whole Unit,"1,227",99 Years,400,"Studio, 2, 3, 4, 5 BR",3,3
"['Clubhouse', 'Aircon', 'Stove', 'Fridge', 'Jacuzzi', 'Swimming pool', 'Wading pool', 'Sea view', '', '', '', '', '', '', '', '']",2021,10 Alexandra View,FEC Skyline Pte Ltd,Alexandra / Commonwealth (D3),North South,High (43 total),Partial,https://www.99.co/singapore/rent/property/artra-condo-H6DiXNtUDtSrxNz7ZcQCJJ#enquiry_position_937#enquiry_source_Search,5 min (61 m) from ,Redhill MRT,Artra,Bukit Merah,Sea view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.6 psf,"$4,400/mo",Condo Whole Unit,786,99 Years,400,"Studio, 2, 3, 4, 5 BR",2,2
"['City view', 'Aircon', 'Sofa', 'Gym', 'Parking', 'Bed', 'Wading pool', 'Jacuzzi', '', '', '', '', '']",2003,20 Lincoln Road,Sc Global Developments Ltd,Newton / Novena (D11),,High (30 total),,https://www.99.co/singapore/rent/property/the-lincoln-modern-condo-JEiKQQF8jENeidtZND89M9#enquiry_position_938#enquiry_source_Search,15 min (1046 m) from ,Novena MRT,The Lincoln Modern,Novena,City view,https://www.99.co/static/v3/icons/city_view@3x.png,$3.61 psf,"$4,000/mo",Apartment Whole Unit,"1,109",Freehold,56,"Studio, 1, 2, 3, 4 BR",1,1
"['Pool deck', 'Water feature', 'High ceiling', 'Function room', 'Oven', 'Parking', 'Outdoor dining', 'Balcony', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,22 Saint Thomas Walk,Tg Development Pte Ltd,Orchard / River Valley (D9),,High (31 total),Partial,https://www.99.co/singapore/rent/property/skypark-condo-MCik7GKxLh9WKHmUUn7MCZ#enquiry_position_939#enquiry_source_Search,10 min (421 m) from ,Somerset MRT,Skypark,River Valley,City view,https://www.99.co/static/v3/icons/pool_deck@3x.png,$5.08 psf,"$17,000/mo",Condo Whole Unit,"3,347",Freehold,29,"3, 4, 5 BR",4,4
"['Jogging track', 'Clubhouse', 'Function room', 'Water feature', 'Sea view', 'Oven', 'Parking', 'Sky terrace', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2008,2 Marina Boulevard,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),,High (70 total),Fully,https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-z7YXq5tfsKLNe7aoMF7Vza#enquiry_position_940#enquiry_source_Search,5 min (216 m) from ,Downtown MRT,The Sail @ Marina Bay,None,City view,https://www.99.co/static/v3/icons/jogging_track@3x.png,$6.62 psf,"$6,200/mo",Condo Whole Unit,936,99 Years,1111,"Studio, 1, 2, 3, 4, 5, 10 BR",2,2
"['Closet', 'Bomb shelter', 'Patio / pes', 'Loft', 'Aircon', 'High ceiling', 'Greenery view', 'Duplex / maisonette', '', '', '', '', '', '', '', '', '', '', '', '', '']",2013,11C Balmoral Road,Tg Developments,Tanglin / Holland (D10),,Mid,Partial,https://www.99.co/singapore/rent/property/the-oliv-condo-Rx3XyTqmeRdnVpB65SZ7So#enquiry_position_941#enquiry_source_Search,20 min (1547 m) from ,Newton MRT,The Oliv,Tanglin,Greenery view,https://www.99.co/static/v3/icons/closet@3x.png,$4.79 psf,"$16,000/mo",Condo Whole Unit,"3,337",Freehold,23,"3, 4, 5 BR",4,4
"['Jogging track', 'Clubhouse', 'Stove', 'Renovated', 'Closet', 'Tv', 'Pool deck', 'Lounge', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2017,51 Flora Drive,Tripartite Developers Pte. Limited,Changi Airport / Changi Village (D17),,Ground (8 total),Fully,https://www.99.co/singapore/rent/property/the-inflora-condo-3iYjBzmmSJp3bR5yptPsAZ#enquiry_position_942#enquiry_source_Search,,,The Inflora,Pasir Ris,Pool view,https://www.99.co/static/v3/icons/jogging_track@3x.png,$3.18 psf,"$2,600/mo",Condo Whole Unit,818,99 Years,396,"1, 2, 3, 4 BR",2,2
"['Function room', 'Pavilion', 'Sky lounge', 'Water feature', 'Yoga corner', 'Gym', 'Swimming pool', 'Jacuzzi', '', '', '']",2021,231 Pasir Panjang Road,Oxley Holdings Limited,Buona Vista / West Coast / Clementi (D5),,,,https://www.99.co/singapore/rent/property/the-verandah-residences-condo-RSSyjEUHV2JAYg2ZdcCDTM#enquiry_position_943#enquiry_source_Search,10 min (472 m) from ,Haw Par Villa MRT,The Verandah Residences,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$6.26 psf,"$2,900/mo",Condo Whole Unit,463,Freehold,170,"1, 2, 3, 4 BR",1,1
"['Function room', 'Pavilion', 'Loft', 'Aircon', 'Stove', 'Fridge', 'Bed', 'Low floor', '', '', '', '', '', '', '', '']",2018,2 Jalan Mat Jambol,,Buona Vista / West Coast / Clementi (D5),,Low (5 total),Fully,https://www.99.co/singapore/rent/property/bijou-condo-ubSv535t3aHGFYMyUGtkxQ#enquiry_position_944#enquiry_source_Search,5 min (86 m) from ,Pasir Panjang MRT,Bijou,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.64 psf,"$3,400/mo",Condo Whole Unit,603,Freehold,120,"1, 2, 3 BR",1,1
[],1970,40 Lloyd Road,,Orchard / River Valley (D9),,,Partial,https://www.99.co/singapore/rent/property/lloyd-court-condo-Zm7QJC6DetEqgKtmUBGrMb#enquiry_position_945#enquiry_source_Search,5 min (307 m) from ,Somerset MRT,Lloyd Court,River Valley,,https://financialtribune.com/sites/default/files/styles/slideshow/public/field/image/17january/12_housing.jpg?itok=d06YPElv&c=951339708e83cdf3eb1f0b0e2a10dfe1,$7.14 psf,"$2,500/mo",Condo Whole Unit,350,Freehold,25,"Studio, 1, 2, 3 BR",2,1
"['Pavilion', 'Aircon', 'Swimming pool', 'High ceiling', 'Sofa', 'Greenery view', 'Pool deck', 'Gym', 'Fridge', 'Bed', 'Walk in closet', 'Tv', 'Jacuzzi', 'Washer', 'Stove', 'Bbq', 'Balcony']",2016,29A Toh Tuck Road,Mequity Pte Ltd,Clementi Park / Upper Bukit Timah (D21),North South,,Fully,https://www.99.co/singapore/rent/property/nottinghill-suites-condo-f58ypQ4LUQb9eqTUR555ff#enquiry_position_946#enquiry_source_Search,15 min (914 m) from ,Beauty World MRT,Nottinghill Suites,Bukit Timah,Greenery view,https://pic.99.co/v3/QLMtuv9VRYYHPjxsaiayYm?width=1440&mode=fill&text=Wilson+Lim&sampling=lanczos&quality=80&version=1&signature=d4600407906fb5e394cb8e5b3ea4b14c52c925a3,$5.15 psf,"$2,050/mo",Apartment Whole Unit,398,Freehold,124,"Studio, 1, 2 BR",1,1
"['Water feature', 'Gym', 'Pool deck', 'Lounge', 'Jacuzzi', 'Tennis court', 'Pond', 'Outdoor dining', '', '', '']",2021,8 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/martin-modern-condo-FcLMX9Pv9KEkCzAcy3iQxM#enquiry_position_947#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,,https://www.99.co/static/v3/icons/water_feature@3x.png,$7.7 psf,"$6,800/mo",Apartment Whole Unit,883,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Penthouse', 'Clubhouse', 'City view', 'Fitness corner', 'Closet', 'Aircon', 'Sofa', 'Stove', '', '', '', '', '', '', '', '', '', '', '', '']",2014,65B Cavenagh Road,Cavenagh Properties Pte Ltd,Orchard / River Valley (D9),West,High (7 total),Partial,https://www.99.co/singapore/rent/property/waterscape-at-cavenagh-condo-JZQW4ecEKz3vC8goHLvz9X#enquiry_position_948#enquiry_source_Search,15 min (790 m) from ,Somerset MRT,Waterscape At Cavenagh,Newton,City view,https://www.99.co/static/v3/icons/penthouse@3x.png,$4.03 psf,"$4,300/mo",Condo Whole Unit,"1,066",Freehold,200,"1, 2, 3, 4, 5 BR",2,2
"['Pool deck', 'Swimming pool', 'Fitness corner', 'Parking', 'Security', 'Bbq']",2018,1 Lorong 20 Geylang,The One Development Pte. Ltd,Eunos / Geylang / Paya Lebar (D14),,,,https://www.99.co/singapore/rent/property/1-suites-condo-vpJ2byUWreY3SJaYKZDyrG#enquiry_position_949#enquiry_source_Search,10 min (476 m) from ,Aljunied MRT,# 1 Suites,Geylang,,https://www.99.co/static/v3/icons/pool_deck@3x.png,$6 psf,"$1,800/mo",Condo Whole Unit,300,Freehold,112,"Studio, 1, 2, 5 BR",studio,1
"['Function room', 'Water feature', 'Gym', 'Spa pool', 'Steam room', 'Tennis court', 'Fitness corner', 'Security', '', '']",2018,8 Saint Thomas Walk,Bukit Sembawang Estates Limited,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/8-st-thomas-condo-ku9kc9CugHw79DrLjz9rT7#enquiry_position_950#enquiry_source_Search,10 min (505 m) from ,Somerset MRT,8 St Thomas,River Valley,,https://www.99.co/static/v3/icons/function_room@3x.png,$6.92 psf,"$3,500/mo",Condo Whole Unit,506,Freehold,230,"1, 2, 3, 4, 5 BR",1,1
"['Water feature', 'Gym', 'Pool deck', 'Lounge', 'Jacuzzi', 'Tennis court', 'Pond', 'Outdoor dining', '', '', '']",2021,8 Martin Place,Guocoland / First Bedok Land Pte Ltd,Orchard / River Valley (D9),,,Partial,https://www.99.co/singapore/rent/property/martin-modern-condo-S54s5cmPwoi9tVKBdDy2xG#enquiry_position_951#enquiry_source_Search,25 min (2454 m) from ,Somerset MRT,Martin Modern,River Valley,,https://www.99.co/static/v3/icons/water_feature@3x.png,$6.94 psf,"$5,300/mo",Condo Whole Unit,764,99 Years,450,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Fun pool', 'Clubhouse', 'Jet pool', 'Badminton court', 'Basketball court', 'Water feature', 'Gym', 'Jogging track', '', '', '', '', '', '', '', '', '', '', '']",2011,937 Bukit Timah Road,Boonridge Pte Ltd,Clementi Park / Upper Bukit Timah (D21),,,,https://www.99.co/singapore/rent/property/the-cascadia-condo-8os7qoJtt6BDWRoyP5Y6UG#enquiry_position_952#enquiry_source_Search,10 min (456 m) from ,King Albert Park MRT,The Cascadia,Bukit Timah,,https://www.99.co/static/v3/icons/pool@3x.png,$4.22 psf,"$6,000/mo",Condo Whole Unit,"1,421",Freehold,536,"1, 2, 3, 4, 5 BR",4,4
"['City view', 'Closet', 'Aircon', 'Tv', 'Sofa', 'Dishwasher', 'Bed', 'Fridge', 'Dryer', 'Oven', 'Dining room furniture', 'Washer']",2004,45 Mosque Street,Act Development Pte Ltd,Boat Quay / Raffles Place / Marina (D1),South West,,Fully,https://www.99.co/singapore/rent/property/empire-lofts-condo-VSpEU3oMmvDww6TocEkPja#enquiry_position_953#enquiry_source_Search,5 min (149 m) from ,Chinatown MRT,Empire Lofts,None,City view,https://pic.99.co/v3/oVG3eJbcuLUcbwgj8sHYWB?width=1440&mode=fill&text=Windaline+Lew&sampling=lanczos&quality=80&version=1&signature=6c2a9260d59d5c0598e678ed6d077cfe6947782a,$7.35 psf,"$3,898/mo",Condo Whole Unit,530,-,27,"1, 2 BR",1,1
